questionID,criteria 4
64cbe31b462fc41ee8813844,2
64cbf78c239ed5a2ef5c7329,2
64cbe3d2462fc41ee88138ce,2
64cbde31d7d2c93ce9c0bd6b,2
64cbff406ed968df390fbc0d,2
64cbe152462fc41ee88136ec,2
64cbe24f462fc41ee88137ae,2
64cbe27c462fc41ee88137d2,2
64cbf8734abbe7f75a6d14de,2
64cbe3f7462fc41ee88138e8,2
64cbdfd2b517122ebabc7008,2
64cbf742239ed5a2ef5c72e3,2
64cbff556ed968df390fbcd5,2
64cbe2be462fc41ee8813800,2
64cbff5d6ed968df390fbd37,2
64cbddddd7d2c93ce9c0bd2f,2
64cbff5b6ed968df390fbd1d,2
64cbff576ed968df390fbcf3,2
64cbdd3bd7d2c93ce9c0bcc5,2
64cbff226ed968df390fbabb,2
64cbe1d1462fc41ee881374c,2
64cbff0c6ed968df390fb9cd,2
64cbdfcdb517122ebabc7006,2
64cbdd90d7d2c93ce9c0bcfd,2
64cbe2f7462fc41ee881382a,1
64cbff4f6ed968df390fbc99,1
64cbde3cd7d2c93ce9c0bd73,1
64cbf790239ed5a2ef5c732d,1
64cbff056ed968df390fb97f,1
64cbff1e6ed968df390fba93,1
64cbff596ed968df390fbd03,1
64cbff356ed968df390fbb8d,1
64cbe224462fc41ee881378c,1
64cbe198462fc41ee8813720,1
64cbff546ed968df390fbcd1,1
64cbf8404abbe7f75a6d14ae,1
64cd3ef5cf51bcb2f5e84ba7,1
64cbe15f462fc41ee88136f6,1
64cbff2d6ed968df390fbb33,1
64cbff0b6ed968df390fb9bf,1
64cbff066ed968df390fb98f,1
64cbe0ada284eff4a028e978,1
64cbff526ed968df390fbcb3,1
64cbf7ae239ed5a2ef5c734b,1
64cbe1a0462fc41ee8813726,1
64cbff296ed968df390fbb0d,1
64cbff1f6ed968df390fba99,1
64cbe2c2462fc41ee8813804,1
64cbff1a6ed968df390fba6b,1
64cbff2b6ed968df390fbb1f,1
