,questionID,criteria 3,auto_criteria_3
0,64cbe1a0462fc41ee8813726,2,2
1,64cbff526ed968df390fbcb3,2,2
2,64cbff2b6ed968df390fbb1f,2,2
3,64cbff1a6ed968df390fba6b,2,2
4,64cbe327462fc41ee881384e,2,2
5,64cbdff6b517122ebabc7022,2,2
6,64cbe273462fc41ee88137ca,3,3
7,64cbde37d7d2c93ce9c0bd6f,2,2
8,64cbe1de462fc41ee8813756,3,3
9,64cbe2f7462fc41ee881382a,2,2
10,64cd3ef5cf51bcb2f5e84ba7,2,2
11,64cbff026ed968df390fb95d,1,2
12,64cbf79a239ed5a2ef5c7337,1,3
13,64cbff2f6ed968df390fbb4d,1,2
14,64cbff436ed968df390fbc29,1,2
15,64cbff346ed968df390fbb81,1,2
16,64cbdfcdb517122ebabc7006,1,1
17,64cbff1f6ed968df390fba99,1,3
18,64cbe0c8a284eff4a028e98e,1,3
19,64cbdeb8d7d2c93ce9c0bdcb,1,2
20,64cbff296ed968df390fbb0d,1,2
21,64cbf7ae239ed5a2ef5c734b,1,2
22,64cbf77b239ed5a2ef5c7319,1,1
23,64cbe31b462fc41ee8813844,1,2
24,64cbe386462fc41ee8813896,1,2
25,64cbe175462fc41ee8813706,1,2
26,64cbff416ed968df390fbc11,1,2
27,64cbff0c6ed968df390fb9cf,1,2
28,64cbf75f239ed5a2ef5c72ff,1,2
29,64cd3ef6cf51bcb2f5e84ba9,1,2
30,64cd3eedcf51bcb2f5e84ba1,1,2
31,64cd3eeacf51bcb2f5e84b9f,1,1
32,64cd3ee8cf51bcb2f5e84b9d,1,2
33,64cd3ee5cf51bcb2f5e84b99,1,2
34,64cd3ee3cf51bcb2f5e84b97,1,2
35,64cd3ee0cf51bcb2f5e84b95,1,2
36,64cd3edccf51bcb2f5e84b91,1,2
37,64cd3ed9cf51bcb2f5e84b8f,1,2
38,64cd3e41697b927cbfb0c209,1,2
39,64cd3e3e697b927cbfb0c207,1,2
40,64cbff5e6ed968df390fbd3b,1,2
41,64cbff5d6ed968df390fbd37,1,3
42,64cbff5d6ed968df390fbd31,1,2
43,64cbff5d6ed968df390fbd2f,1,2
44,64cbff5d6ed968df390fbd2d,1,2
45,64cbff5c6ed968df390fbd27,1,2
46,64cbff5b6ed968df390fbd1f,1,2
47,64cbff5b6ed968df390fbd1d,1,2
48,64cbff5b6ed968df390fbd17,1,2
49,64cbff5a6ed968df390fbd13,1,2
