,questionID,criteria 1,auto_criteria_1
0,64cbe1c0462fc41ee881373c,2,1
1,64cbe364462fc41ee881387c,2,1
2,64cbe415462fc41ee8813900,2,1
3,64cbe122462fc41ee88136c4,2,1
4,64cd3ed4cf51bcb2f5e84b8b,2,2
5,64cbe2f9462fc41ee881382c,2,1
6,64cbff086ed968df390fb99b,2,1
7,64cbe359462fc41ee8813874,2,1
8,64cbf8604abbe7f75a6d14cc,2,1
9,64cbf752239ed5a2ef5c72f3,2,1
10,64cbff0b6ed968df390fb9c1,2,2
11,64cbe251462fc41ee88137b0,2,1
12,64cbf7b2239ed5a2ef5c734f,2,2
13,64cbff286ed968df390fbb01,2,2
14,64cbf7ae239ed5a2ef5c734b,2,1
15,64cbe1a0462fc41ee8813726,2,1
16,64cbff3a6ed968df390fbbcb,1,1
17,64cbff4a6ed968df390fbc65,1,1
18,64cbff0b6ed968df390fb9bf,1,1
19,64cbdeaad7d2c93ce9c0bdc3,1,1
20,64cbff186ed968df390fba4d,1,1
21,64cbf750239ed5a2ef5c72f1,1,1
22,64cbff0f6ed968df390fb9ef,1,2
23,64cbff066ed968df390fb989,1,2
24,64cbff0f6ed968df390fb9eb,1,2
25,64cbff426ed968df390fbc23,1,1
26,64cbdfd2b517122ebabc7008,1,1
27,64cbe224462fc41ee881378c,1,1
28,64cbff416ed968df390fbc17,1,1
29,64cbe3c4462fc41ee88138c4,1,1
30,64cbf8264abbe7f75a6d1496,1,1
31,64cbe424462fc41ee881390c,1,1
32,64cbdffbb517122ebabc7026,1,1
33,64cbff436ed968df390fbc29,1,1
34,64cbe2d4462fc41ee8813812,1,1
35,64cbe018b517122ebabc703e,1,1
36,64cbde26d7d2c93ce9c0bd65,1,1
37,64cbe183462fc41ee8813710,1,1
38,64cbf778239ed5a2ef5c7317,1,1
39,64cbe0c8a284eff4a028e98e,1,1
40,64cbff1f6ed968df390fba99,1,1
41,64cbdfcdb517122ebabc7006,1,1
42,64cbff346ed968df390fbb81,1,1
43,64cbff0e6ed968df390fb9dd,1,1
44,64cbe2c2462fc41ee8813804,1,1
45,64cbe31b462fc41ee8813844,1,1
46,64cbf77b239ed5a2ef5c7319,1,1
47,64cbff2b6ed968df390fbb1f,1,1
48,64cbff526ed968df390fbcb3,1,1
49,64cbff296ed968df390fbb0d,1,1
